Country,Status
Turkey,Proof of concept
South Korea,Proof of concept
Singapore,Research
Russia,Proof of concept
India,Pilot
China,Research
Thailand,Research
Bahamas,Launched
Sri Lanka,Research
Australia,Research
Norway,Proof of concept
Nepal,Research
Namibia,Research
Laos,Research
Kazakhstan,Proof of concept
Iran,Proof of concept
France,Pilot
Eswatini,Research
China,Pilot
United States of America,Research
Nigeria,Pilot
Jamaica,Launched
Hong Kong,Research
Brazil,Proof of concept
Zimbabwe,Research
Thailand,Proof of concept
Indonesia,Research
Mauritius,Research
Dominican Republic,Research
Cote d'Ivoire,Research
Taiwan,Proof of concept
Indonesia,Research
Mauritius,Research
Dominican Republic,Research
Cote d'Ivoire,Research
Chile,Research
Israel,Proof of concept
Fiji,Research
Bangladesh,Research
Azerbaijan,Research
Hungary,Proof of concept
Sudan,Research
Argentina,Research
South Africa,Research
Mexico,Research
Curacao,Research
Trinidad and Tobago,Research
Rwanda,Research
Malaysia,Research
Japan,Proof of concept
Honduras,Research
Zambia,Research
Yemen,Research
Uganda,Research
Sweden,Proof of concept
Qatar,Research
Philippines,Cancelled
Oman,Research
New Zealand,Proof of concept
Kenya,Research
Iraq,Research
Denmark,Research
Malaysia,Proof of concept
Jordan,Research
Switzerland,Research
Tanzania,Research
Republic of Palau,Research
Peru,Research
Guatemala,Research
Bhutan,Research
Madagascar,Research
Ghana,Pilot
Vietnam,Research
Vanuatu,Research
United Arab Emirates,Research
Tonga,Research
Solomon Islands,Research
Tunisia,Pilot
Palestine,Research
Switzerland,Research
Austria,Research
South Africa,Research
Poland,Research
Pakistan,Research
Macau,Research
Georgia,Research
Morocco,Research
Czech Republic,Research
Switzerland,Research
Lebanon,Research
Thailand,Proof of concept
Bahrain,Research
Switzerland,Research
Saudi Arabia,Pilot
Kuwait,Research
Thailand,Proof of concept
Haiti,Cancelled
Canada,Research
Egypt,Research
United Kingdom,Research
Ukraine,Proof of concept
Iceland,Research
Uruguay,Pilot
Ecuador,Cancelled
Japan,Research
Finland,Cancelled
